coding	meaning
Y2326	Carer wants form completing
Y2327	Transferred to another care provider
Y2331	Other comments regarding blood pressure
Y2333	Unable To Determine Wound Condition
Y2334	Wound Bed Description: Black
Y2335	Other comments regarding urine sample
Y2336	Urine not tested: unable to obtain sample
Y2337	Urine not tested: sample contaminated
Y2339	Comprehension
Y2342	Pedal pulses absent
Y2343	Sleep Problem
Y2344	Developmental Problem
Y2345	Minor Illness
Y2346	Urine not tested: other reason
Y2349	Environmental Problems
Y234d	Ward Round Decisions
Y2353	FH: Hearing Impairment
Y2354	Seen by Educational Psychologist
Y2355	Eating & Drinking
Y2359	Assessment
Y2360	Re-assessment
Y2361	Problem Identified / Action
Y2363	Body Temperature
Y2364	Personal Hygiene
Y2367	Pressure sore
Y2368	Malignancy
Y2369	Elective Surgery
Y2371	Fistula
Y2372	Length of time wound present
Y2373	Unable to weigh patient: no scales available
Y2374	Functional incontinence
Y2379	Relevant Medication History
Y237d	Additional SCR dataset uploaded under COPI Regulations
Y2380	Specific Times
Y2382	Epithelialisation (pink)
Y2383	Healthy Granulations
Y2384	Necrotic Tissue (black)
Y2385	Surrounding Skin
Y2386	Dry / Scaling
Y2387	Erythema
Y2395	Carer attitudes to incontinence: Coping
Y2397	Clinical signs present
Y2398	Wound swab sent
Y2399	results obtained
Y23a0	Prescription chart checked
Y23a5	Absence of right leg
Y23cf	Dietetic Goals
Y23da	Survivor of conflagration in residential building or apartment
Y23db	Bereavement due to conflagration in residential building or apartment
Y23e0	Referral to online diabetes structured education programme
Y23e4	Urgent supply of prescription items by community pharmacy
Y23e6	Does not have immunity to SARS-CoV-2 (severe acute respiratory syndrome coronavirus 2)
Y23e9	Has immunity to SARS-CoV-2 (severe acute respiratory syndrome coronavirus 2)
Y23ea	SARS-CoV-2 (severe acute respiratory syndrome coronavirus 2) IgG detection result negative
Y23eb	SARS-CoV-2 (severe acute respiratory syndrome coronavirus 2) IgG detection result equivocal
Y23ec	SARS-CoV-2 (severe acute respiratory syndrome coronavirus 2) IgG detection result positive
Y23ee	SARS-CoV-2 (severe acute respiratory syndrome coronavirus 2) IgM detection result negative
Y23f0	SARS-CoV-2 (severe acute respiratory syndrome coronavirus 2) IgM detection result positive
Y23f2	SARS-CoV-2 (severe acute respiratory syndrome coronavirus 2) total immunoglobulin arbitrary concentration in serum
Y23f4	SARS-CoV-2 (severe acute respiratory syndrome coronavirus 2) detection result negative
Y23f5	SARS-CoV-2 (severe acute respiratory syndrome coronavirus 2) RNA (ribonucleic acid) detection result equivocal
Y23f6	SARS-CoV-2 (severe acute respiratory syndrome coronavirus 2) RNA (ribonucleic acid) detection result unknown
Y23f7	SARS-CoV-2 (severe acute respiratory syndrome coronavirus 2) detection result positive
Y23f8	SARS-CoV-2 (severe acute respiratory syndrome coronavirus 2) IgG detection result unknown
Y23f9	Dull pain
Y23fa	Referrer details
Y23fb	Mixed dementia
Y23fc	Oedema of lower leg
Y2404	Temperature gradient
Y2407	Client Psychological status: Depressed
Y2408	Number per day
Y2409	Referral to vascular consultant
Y240c	Central laboratory measurement of severe acute respiratory syndrome coronavirus 2 antibody (procedure)
Y240e	Point of care measurement of severe acute respiratory syndrome coronavirus 2 antibody (procedure)
Y240f	Point of care severe acute respiratory syndrome coronavirus 2 species detection test (procedure)
Y2411	Local anaesthetic assesment form
Y2412	Patient complains of
Y2413	Previous treatments
Y2414	Vascular assessment
Y2415	Unable to weigh patient: patient unable to weight bear
Y2416	Polydypsia / Polurea
Y2417	Sensory loss
Y241a	Severe acute respiratory syndrome coronavirus 2 species detection test (procedure)
Y241b	Supply of medication for minor illness by community pharmacy (record artifact)
Y2421	Client Psychological status: Loss of short term memory
Y2422	Proposed surgery
Y2423	Further investigations required and findings
Y2424	Lesser digital deformity
Y2425	Prominent met heads
Y2427	Unable to weigh patient: other reason
Y2428	Nail pathology
Y2430	Podiatry / Chiropody care
Y2431	Regular podiatry care
Y2437	Palpable
Y2438	Carer Psychological status: Loss of short term memory
Y243d	Save sample for serum serology
Y2441	Strong & biphasic
Y2442	Weak & Biphasic
Y2443	Subjective history
Y2444	Objective history
Y2447	Relevant current medication
Y2448	With Phenolisation
Y2452	Monophasic
Y2453	Exercise ECG
Y2456	Assistance required: Getting in/out bed
Y2458	Assistance required: Wheelchair use
Y2459	Carer does not want form completing
Y245c	Exposure to confirmed case of severe acute respiratory syndrome coronavirus 2 infection (event)
Y2460	Recent change in sensation
Y2461	Basic foot care
Y2462	Risk classification
Y2463	Normal sensation, no deformity, no previous ulcer
Y2464	Loss of protective sensation (10g), no deformity, no previous ulcer
Y2465	Patient can not walk on treadmill
Y2466	Unified cardiac referral note
Y2467	Date/length of time wound present
Y2469	Wound margin / surrounding skin
Y246c	Provision of advice, assessment or treatment delayed due to coronavirus disease 19 caused by severe acute respiratory syndrome coronavirus 2 pandemic (situation)
Y246f	Severe acute respiratory syndrome coronavirus 2 immunoglobulin A detected (finding)
Y2475	Eyes checked annually
Y2478	Referral to chronic cardiac pain service
Y247c	Severe acute respiratory syndrome coronavirus 2 immunoglobulin A not detected (finding)
Y2480	Referral to ambulatory blood pressure recording
Y2481	Referral for ambulatory ECG
Y2482	Referral for exercise tolerance test
Y2483	Paitent can walk on a treadmill
Y2487	Dental issues
Y2495	Urgent Cardiac referral
Y2496	Routine Cardiac referral
Y2497	Chest pain referral
Y2498	Eyes never checked
Y2499	Information leaflet given: keeping an eye on diabetes
Y24ad	PC19Q I was admitted to hospital due to my coronavirus infection
Y2500	Attends Smoking Cessation Clinic in Practice
Y2502	Syncope referral
Y2503	Smoking Cessation Advice Outcome - Quit
Y2504	Smoking Cessation Advice Outcome - Not Quit
Y2505	Smoking Cessation Advice Outcome - Lost To Clinic
Y2509	Urine amphetamine level Negative
Y2518	Bone density scan Normal
Y2519	Bone density scan Abnormal
Y2520	Diabetes Education Completed : Additional Support
Y2521	Diabetes Education Completed : Any Other Problems
Y2522	Diabetes Education Completed : Driving & Diabetes
Y2523	Diabetes Education Completed : Eye Care
Y2524	Diabetes Education Completed : Footcare
Y2525	Diabetes Education Completed : Hyperglycaemia
Y2526	Diabetes Education Completed : Hypoglycaemia
Y2527	Diabetes Education Completed : Identification
Y2528	Diabetes Education Completed : Illness Management
Y2529	Diabetes Education Completed : Insulins
Y2530	Diabetes Education Compl. : Looking After Yourself
Y2531	Diabetes Education Compl. : Monitoring of Diabetes
Y2532	Diabetes Education Completed : Pregnancy
Y2533	Diabetes Education Completed : Treatment Plan
Y2534	Diabetes Edu Compl. : Urine Ketone Test (Type I)
Y2535	Diabetes Education Completed : What is Diabetes?
Y2536	Faecel occult blood test Positive
Y2537	Faecel occult blood test Negative
Y2538	Faecel occult blood test Weak Positive
Y2539	H/O: retinopathy
Y253d	Recently performed a direct current defibrillation procedure (event)
Y2541	Referral to Cardiac Rehabilitation Service
Y2544	Initial profile
Y2547	Influenza Immunisation invite letter 1
Y2548	Influenza Immunisation invite letter 2
Y2549	Influenza Immunisation invite letter 3
Y2550	Fracture of right Scaphoid bone
Y2551	Fracture of left Scaphoid bone
Y255f	Recently performed administration of continuous positive airway pressure ventilation (event)
Y2572	H/O: Intermittent claudication
Y2574	H/O: Breathlessness
Y2575	H/O: Polydypsia/Polyurea
Y2576	H/O: Sensory Loss
Y2578	Medical condition comments
Y2581	H/O: Local Anesthetic
Y2582	Difficulty eating or chewing food
Y2583	Drink instead of eating food at mealtimes
Y2584	Feels full quickly when first starts eating
Y2585	Appetite decreased over last few months
Y2586	Often feel as though going to be sick
Y2587	Clothing recently started to feel loose
Y2588	Patient looks thin
Y2589	Involuntary weight loss in last 3 months
Y2590	Nutritional risk score
Y2591	Total risk score malnutrition
Y2593	Carers need assessment offered
Y2594	Carers need assessment completed (if relevant)
Y2596	Date of Care/Service review
Y2598	Care/Service review: Outcome
Y2599	Date of final transition review
Y25a6	PC19Q I dont think I have had COVID-19 (coronavirus) disease
Y25ac	PC19Q I think I have been exposed to COVID-19 (coronavirus) disease
Y25b1	PC19Q I take NSAIDs regularly
Y25be	PC19Q I had a Covid-19 swab (nose/throat) test on:
Y25c1	PC19Q I had a Covid-19 test (other type) on:
Y2602	Date of health action plan assessment
Y2603	Health action plan: Persons present
Y2604	Health action plan: Outcome
Y260f	Reviewed by Care Home MDT
Y2610	Speech & language therapy report: Other comments
Y2612	Self-discharge at parents request
Y2613	Other reason for discharge
Y2614	Listening and attention skills
Y2616	Skills in the fluency of speech
Y2618	Therapy not required - discharged
Y2619	Onward referral made (specify)
Y261a	Multifactorial Falls Risk Assessment
Y261d	MFRA: Has experienced blackouts, loss of consciousness or inability to recollect mechanism of falls, not due to memory
Y2620	Other outcome
Y2621	Pressure ulcer
Y2622	Diabetic ulcer
Y2623	Traumatic wound
Y2624	Surgical wound
Y2626	Allergies to dressings/topical applications
Y2627	Previous wound dressing
Y2628	Current wound dressing regime
Y2629	Footwear good fit
Y2630	Heel height 1"
Y2633	Footwear fastening: Lace/buckle
Y2634	Footwear fastening: Slip on
Y2635	Footwear fastening: Velcro
Y2636	Sub-Ungal
Y2637	Left fixed ankle joint
Y2638	Right fixed ankle joint
Y2639	Colour of wound on left leg
Y2645	Cardiac problems
Y2648	Peripheral pulses regular
Y2649	Peripheral pulses irregular
Y264f	MFRA: Lying BP after 5 minutes and standing BP after 3 minutes has been recorded and indicates a deficit
Y2650	Skin colour palor
Y2651	Skin colour rubor/cyanosis
Y2652	Capillary refill Instant
Y2653	Capillary refill <3 seconds
Y2654	Capillary refill 3-5 seconds
Y2655	Capillary refill >5 seconds
Y2656	Varicose veins not present
Y2657	Varicose veins present
Y2658	Varicose veins operated on
Y2659	Light touch Occ/Proximal not distal
Y2660	Monofilament sensation present
Y2662	Monofilament Occ/Proximal not distal
Y2663	Temperature sensation present
Y2664	Temperature sensation not present
Y2666	No painful neuropathy
Y2667	Occasional painful neuropathy
Y2668	Constant painful neuropathy
Y2669	No paralysis
Y2670	Paralysis flaccid
Y2671	Paralysis spastic
Y2672	No muscle wasting
Y2673	Peripheral hair present
Y2674	Peripheral hair thinning
Y2675	Peripheral hair absent
Y2676	Skin type normal
Y2677	Brown staining - left leg
Y2678	Brown staining - right leg
Y2679	Induration of wound - Left
Y267c	Photography of patient
Y2680	Induration of wound - Right
Y2681	Left atrophe blanche
Y2682	Right atrophe blanche
Y2683	Scar tissue on left leg
Y2684	Scar tissue on right leg
Y2685	Other pressures - Left
Y2686	Other pressures - Right
Y2687	Flared left ankle
Y2688	Flared right ankle
Y2689	Left reperfusion time >3 secs
Y2690	Right reperfusion time >3 secs
Y2691	Left pedal pulses absent
Y2692	Right pedal pulses absent
Y2693	Reduced sensation on left leg
Y2694	Reduced sensation on right leg
Y2697	Left oedema/lymphoedema
Y2698	Right oedema/lymphoedema
Y2699	Pain - Left leg
Y269d	SARS-CoV-2 (severe acute respiratory syndrome coronavirus 2) antigen detection result positive
Y269e	SARS-CoV-2 (severe acute respiratory syndrome coronavirus 2) antigen detection result negative
Y26a0	SARS-CoV-2 (severe acute respiratory syndrome coronavirus 2) antigen detection result unknown
Y26a1	SARS-CoV-2 (severe acute respiratory syndrome coronavirus 2) antibody detection result positive
Y26a2	SARS-CoV-2 (severe acute respiratory syndrome coronavirus 2) antibody detection result negative
Y26a3	SARS-CoV-2 (severe acute respiratory syndrome coronavirus 2) antibody detection result indeterminate
Y26a4	SARS-CoV-2 (severe acute respiratory syndrome coronavirus 2) antibody detection result unknown
Y26a6	SARS-CoV-2 (severe acute respiratory syndrome coronavirus 2) IgM detection result indeterminate
Y26a7	SARS-CoV-2 (severe acute respiratory syndrome coronavirus 2) IgA detection result indeterminate
Y26b0	PC19Q I have had a test for COVID-19
Y26b1	PC19Q I have not had a test for COVID-19
Y26b2	PC19Q My test for COVID-19 was positive
Y26b3	PC19Q My test for COVID-19 was negative
Y26b6	PC19Q No one in my household has had a positive test for COVID-19
Y2700	Pain - Right leg
Y2701	Left ankle measurement (cms)
Y2702	Right ankle measurement (cms)
Y2703	Left calf measurement (cms)
Y2704	Right calf measurement (cms)
Y2705	Hypothyroidism screening test
Y2706	Hypothyroidism negative
Y2707	Hypothyroidism positive
Y2713	Patient able to access optometrist
Y2714	BCG status
Y2716	BCG positive
Y2717	Type of milk
Y2719	Parental responsibility
Y271b	PC19Q How likely on a scale of 1-5 (1 being not at all likely, and 5 being very likely) would you be to get a vaccine for COVID-19?
Y2720	Immunisation intention
Y2723	Skin type dry
Y2724	Skin type sweaty
Y2725	Texture healthy
Y2727	Texture broken/dry
Y2728	Joint movement good
Y2729	Joint movement restricted
Y2730	Joint movement poor
Y2731	No feet abnormalities
Y2733	Lesser toe deformities
Y2734	Feet - plantar pressure
Y2735	No friction on feet
Y2736	Friction - superficial callous/blisters/seed corn on feet
Y2737	Friction - callous corns on feet
Y2738	Site of skin lesions
Y2740	Domiciliary visit
Y2754	Antenatal problems
Y2756	Problem identified at clinic
Y2757	Advice given to adult
Y2758	Superficial/graze
Y2759	Under care of ophthalmic consultant
Y2762	Single - living with family
Y2764	Terminally ill with poor prognosis
Y2766	Non wheelchair dependent but requires chair for daily use
Y2767	Wheelchair for occasional use outside home
Y2768	Medical condition prevents travel to clinic
Y2769	Patient in nursing home bed
Y2771	Single - living alone
Y2772	Heart problems
Y2773	Impaired hearing
Y2774	Impaired eyesight
Y2775	Limited walking ability indoors with aid
Y2776	Limited walking ability outdoors with or without aid
Y2778	Normal sitting ability
Y2784	Mobility indoor/stairs: Observed
Y2795	Activities of daily living: Toilet: Discussed
Y27af	Assessment of medication supply
Y27c1	Adjuvanted trivalent influenza vaccine (surface antigen, inactivated) suspension for injection 0.5ml pre-filled syringes (Seqirus Vaccines Ltd)
Y27cf	Patient given information
Y27d1	Patient given written information
Y27d8	Personal protective equipment
Y27da	Heart failure medication review
Y27dc	Neurological rehabilitation service
Y27dd	Orthogeriatrics service
Y27de	Referral to Macmillan Cancer Support
Y27e2	Moving to new residence
Y27e3	Seen by pharmacy technician
Y27e6	Bill sent
Y27e7	Fee paid
Y27ea	Bowel cancer screening programme liquid faecal immunochemical test abnormal
Y27eb	Bowel cancer screening programme liquid faecal immunochemical test normal
Y27f3	Arrival by emergency road ambulance
Y27f5	Arrival by non-emergency road ambulance
Y27fd	Faecal analysis
Y2804	Activities of daily living: Bathing/showering/washing: Discussed
Y2807	Activities of daily living: Bathing/showering/washing: Action required
Y2809	Activities of daily living: Dressing/undressing: Discussed
Y280a	Liaising with pharmacist
Y280f	Blood ketone testing strips
Y2817	Activities of daily living: Eating/Drinking: Discussed
Y281b	Cancer safety netting
Y281c	Seen by first contact physiotherapist
Y281d	Care plan agreed
Y281e	Personalised Care and Support Plan agreed
Y281f	Seen by physician associate
Y2825	Activities of daily living: Occupation/leisure activities: Discussed
Y282a	Review of Personalised Care and Support Plan
Y282b	Structured medication review
Y282c	Living temporarily in care home
Y2830	Communication: Discussed
Y2831	Communication: Assessed
Y2832	Communication: Action required
Y2833	Personal wellbeing: Observed
Y2834	Personal wellbeing: Discussed
Y2835	Personal wellbeing: Assessed
Y2838	Potential result of hazard
Y2839	Score risk for hazard causing injury or damage
Y283c	PHQ-4 - Patient Health Questionnaire-4
Y2842	Referral to consultant ophthalmologist
Y2844	Referral to consultant ophthalmologist other
Y2845	Referral to independent optometrist
Y2848	Employment status - Disabled
Y2851	Has not attended orthoptic school vision screening test
Y2852	Absent from orthoptic school vision screening test
Y2854	Employment status - Long term sickness
Y2855	Attends own optometrist for vision condition
Y2856	Attends other hospital eye dept for vision condition
Y2857	Type of employment of principle earner
Y2860	Intention to return to work
Y2868	No transport
Y2884	Service involved: Sure start
Y2887	Service involved: Education
Y2888	Service involved: Other
Y288b	IAPT (Improving Access to Psychological Therapies) treatment PEQ (Patient Experience Questionnaire) question 2 score
Y2891	DTaP/IPV Reinforcing
Y2892	Td/IPV Reinforcing
Y2895	Revaxis Reinforcing
Y2898	Failed to attend Initial appointment
Y2899	Emollients used
Y289b	PTSD (post-traumatic stress disorder) checklist for DSM-5 (Diagnostic and Statistical Manual of Mental Disorders - Fifth Edition) (PCL-5) total symptom severity score
Y28a0	Irritable Bowel Syndrome - Symptom Severity Scale score
Y28a5	Ability to perform function / activity
Y28a6	Activities specific balance confidence score
Y28ab	Review
Y28ad	Monitoring pedal pulse
Y28b2	Unresponsive
Y28b6	Early evening eating routine
Y28b8	Total diet replacement programme invitation
Y28b9	Referral to total diet replacement programme
Y28bc	Total diet replacement programme commenced
Y28bf	Total diet replacement programme completed
Y28c1	Total diet replacement programme contraindicated
Y28c4	Patient given licence for MyAsthma App
Y28c8	Signposting to service
Y28c9	Signposting to minor eye conditions service
Y28d1	Signposting to counselling
Y28d4	Does use dosette box
Y28ed	Apnea Hypopnea Index
Y28f0	4AT (4 As Test) score
Y28f1	Keele University PROMPPT Study into Prescribed opiates for pain - Low level opioid group
Y28f2	Keele University PROMPPT Study into Prescribed opiates for pain - Moderate level opioid group
Y28f3	Keele Univeristy PROMPPT Study into Prescribed opiates for pain - High level opioid group
Y28f4	Long term methotrexate user
Y28fa	Long term systemic steroid user
Y2902	Lymphoma in Remission
Y2903	Inflammatory bowel disease in remission
Y2904	Cryptic tuberculosis
Y2905	Semen analysis test requested
Y2906	Ongoing therapy
Y2909	General nursing assessment
Y290c	Face to face consultation
Y2912	Health action plan
Y2913	Epilepsy assessment
Y2917	Autistic spectrum disorder - Autism checklist
Y2919	ADHD: Core symptoms (adult)
Y292a	Has access to a Home Blood Pressure Monitor
Y292b	Has access to a Blood Pressure readings app
Y292e	Has access to a Mobile phone
Y2930	Eating & drinking: Oral skills assessment
Y2933	Eating & drinking: Diary sheet
Y2935	Downs syndrome & dementia checklist
Y2936	Consent forum checklist
Y2938	Learning disability assessment
Y293a	Has access to Android Smart Phone with access to internet
Y293f	Individual doesnt know Broadband Speed
Y2940	Partially completed
Y2941	Fully completed
Y2942	Family initial assessment completed
Y2943	Type of delivery
Y2944	Number of days post delivery
Y2945	Post-delivery maternal breast condition
Y2947	Post-delivery maternal other condition
Y2948	Infant feeding method discussed: Breast fed
Y294a	Not interested in learning how to use online grocery service
Y2950	Infant feeding method discussed: Breast & bottle fed
Y2951	Encouraged pelvic floor exercises
Y2952	Discussed combined pill
Y2953	Discussed contraception injection
Y2954	Discussed contraception implants
Y2955	Discussed barrier method
Y2956	Discussed progesterone only contraception
Y2957	Discussed professional support
Y2958	Discussed voluntary support
Y2959	Discussed family support
Y295b	Can and does use online banking
Y295f	Can send/receive text messages but chooses not to
Y2960	Discussed support of friends
Y2966	Intends to return to work full-time
Y2967	Intends to return to work part-time
Y2969	Childcare arrangements discussed
Y296d	Can send &/or receive emails with help from others
Y296e	Can send/receive emails but chooses not to
Y2971	Discussed benefit entitlement
Y2972	Informed of 6 weeks postnatal check with GP
Y2973	Informed of routine health visitor service and CHS programme
Y297d	Can download and use apps but chooses not to
Y2984	Parenting issues explained: Family support
Y298d	Can and does make & receive video calls
Y2990	Maternal well-being discussed: Alcohol and drugs
Y2995	Work status discussed: Intends to return to work
Y2997	Work status discussed: Intends to become full-time parent
Y2999	Information leaflet given: Immunisation
Y299b	Knows how to watch videos online but chooses not to
Y299e	Would like to learn how to book GP appointments online to access care
Y29a3	Would like to learn how to order repeat prescription online to access care
Y29a6	Knows how to & does order repeat prescription online
Y29a8	AskMyGP - would like to learn how to use it to access care
Y29ad	Would like to learn how to use video consultation with doctor &/or nurse to access care
Y29b3	Self Care Portal - can use it with help from others
Y29b9	Improving access to online services (IAOS) completed paper format by patient
Y29ba	Provision of Improving access to online services questionnaire
Y29bb	Improving access to online services template completed
Y29bc	Encounter by short message service text messaging
Y29bd	Video-link encounter
Y29be	Physical assessment
Y29c0	Edinburgh Dysphagia Score
Y29c5	Multidisciplinary case management
Y29cd	Uses AIRMID
Y29cf	Uses NHS App
Y29d2	Clinical assessment indicates this patient is NOT frail
Y29d6	CSHA (Canadian Study of Health and Aging) Clinical Frailty Scale level 1 - very fit
Y29d7	CSHA (Canadian Study of Health and Aging) Clinical Frailty Scale level 2 - well
Y29d8	CSHA (Canadian Study of Health and Aging) Clinical Frailty Scale level 3 - managing well
Y29d9	CSHA (Canadian Study of Health and Aging) Clinical Frailty Scale level 4 - vulnerable
Y29da	CSHA (Canadian Study of Health and Aging) Clinical Frailty Scale level 5 - mildly frail
Y29db	CSHA (Canadian Study of Health and Aging) Clinical Frailty Scale level 6 - moderately frail
Y29dc	CSHA (Canadian Study of Health and Aging) Clinical Frailty Scale level 7 - severely frail
Y29dd	CSHA (Canadian Study of Health and Aging) Clinical Frailty Scale level 8 - very severely frail
Y29e3	Did not attend for first dose of vaccine against SARS-CoV-2
Y29e4	Did not attend for second dose of vaccine against SARS-CoV-2
Y29e5	Adverse reaction to SARS-CoV-2 vaccine
Y29e7	Administration of first dose of SARS-CoV-2 vaccine
Y29e8	Administration of second dose of SARS-CoV-2 vaccine
Y29e9	Immunisation course to achieve immunity against SARS-CoV-2
Y29ea	Immunisation course against SARS-CoV-2 started
Y29ec	SARS-CoV-2 vaccination dose declined
Y29ed	SARS-CoV-2 vaccination first dose declined
Y29ee	SARS-CoV-2 vaccination second dose declined
Y29ef	SARS-CoV-2 vaccination dose not given
Y29f0	SARS-CoV-2 vaccination first dose not given
Y29f1	SARS-CoV-2 vaccination second dose not given
Y2a0e	SARS-2 Coronavirus vaccine
Y2a0f	COVID-19 mRNA Vaccine BNT162b2 30micrograms/0.3ml dose concentrate for suspension for injection multidose vials (Pfizer-BioNTech) part 1
Y2a10	COVID-19 Vac AstraZeneca (ChAdOx1 S recomb) 5x10000000000 viral particles/0.5ml dose sol for inj MDV part 1
Y2a15	Current ongoing illness following confirmed SARS-CoV-2 infection
Y2a16	Reasonable adjustments for health and care access
Y2a17	Requires reasonable adjustments for health and care access (Equality Act 2010)
Y2a18	B&DC Cancer Speciality Pathway Consulted
Y2a19	B&DC Cardiovascular Speciality Pathway Consulted
Y2a1a	B&DC Care of the Elderly Speciality Pathway Consulted
Y2a1c	B&DC Complex Care Speciality Pathway Consulted
Y2a1d	B&DC Covid-19 Speciality Pathway Consulted
Y2a1e	B&DC Diabetes Speciality Pathway Consulted
Y2a1f	B&DC Dermatology Speciality Pathway Consulted
Y2a20	B&DC Diagnostics Speciality Pathway Consulted
Y2a21	B&DC ENT Speciality Pathway Consulted
Y2a22	B&DC Gastroenterology Speciality Pathway Consulted
Y2a23	B&DC Hepatology Speciality Pathway Consulted
Y2a24	B&DC Gynaecology Speciality Pathway Consulted
Y2a25	B&DC Immunology Speciality Pathway Consulted
Y2a27	B&DC Mental Health Speciality Pathway Consulted
Y2a28	B&DC MSK Speciality Pathway Consulted
Y2a29	B&DC Rheumatology Speciality Pathway Consulted
Y2a2a	B&DC Nephrology Speciality Pathway Consulted
Y2a2b	B&DC Neurology Speciality Pathway Consulted
Y2a2c	B&DC Nutrition Speciality Pathway Consulted
Y2a2e	B&DC Ophthalmology Speciality Pathway Consulted
Y2a2f	B&DC Palliative Care Speciality Pathway Consulted
Y2a30	B&DC Paediatrics Speciality Pathway Consulted
Y2a31	B&DC Respiratory Speciality Pathway Consulted
Y2a33	B&DC Sexual health Speciality Pathway Consulted
Y2a34	B&DC Surgery Speciality Pathway Consulted
Y2a36	B&DC Urology Speciality Pathway Consulted
Y2a38	Flublok quadrivalent influenza vaccine
Y2a39	COVID-19 Vac AstraZeneca (ChAdOx1 S recomb) 5x10000000000 viral particles/0.5ml dose sol for inj MDV part 2
Y2a3a	COVID-19 mRNA Vaccine BNT162b2 30micrograms/0.3ml dose concentrate for suspension for injection multidose vials (Pfizer-BioNTech) part 2
Y2a3b	SARS-CoV-2 (severe acute respiratory syndrome coronavirus 2) RNA (ribonucleic acid) detection result positive
Y2a3c	SARS-CoV-2 (severe acute respiratory syndrome coronavirus 2) RNA (ribonucleic acid) detection result negative
Y2a3d	SARS-CoV-2 (severe acute respiratory syndrome coronavirus 2) RNA (ribonucleic acid) detection result positive at the limit of detection
Y2a44	Referral to remote virtual care pulse oximetry monitoring service
Y2a46	Discharge from remote virtual care pulse oximetry monitoring service
Y2a47	Remote virtual care pulse oximetry monitoring ended
Y2a48	Remote virtual care pulse oximetry monitoring started
Y2a49	Remote virtual care pulse oximetry monitoring not appropriate
Y2a4a	Remote virtual care pulse oximetry monitoring declined
Y2a4b	Discussion about remote virtual care pulse oximetry monitoring
Y2a4e	Recent weight loss
Y2a61	Cauda equina syndrome suspected
Y2aaf	Equipment Services TOM (Therapy Outcome Measure) carer wellbeing score
Y2b3d	Dysphasia TOM (Therapy Outcome Measure) wellbeing score
Y2b54	Wound Care TOM (Therapy Outcome Measure) wellbeing score
Y2b59	Lynch syndrome
Y2b62	Medication management
Y2b64	Opioid dosage tapering
Y2b6f	No longer considered to require Fast Track care
Y2b75	B&DC Genetics Speciality Pathway Consulted
Y2b76	B&DC Haematology Speciality Pathway Consulted
Y2b78	Neurogenic bowel
Y2b7a	Oesophageal dysphagia
Y2b7b	Oropharyngeal dysphagia
Y2b80	Allergic reaction caused by vaccine product
Y2b81	Anaphylaxis due to substance
Y2b84	Tongue swelling
Y2b85	Lip swelling
Y2b86	Acute disease caused by severe acute respiratory syndrome coronavirus 2 infection
Y2b87	Post-COVID-19 syndrome
Y2b88	Signposting to Your COVID Recovery
Y2b89	Referral to post-COVID assessment clinic
Y2b8a	Referral to Your COVID Recovery rehabilitation platform
Y2b8c	Assessment using COVID-19 Yorkshire Rehabilitation Screening tool
Y2b96	Heart failure with mid range ejection fraction
Y2b97	Has access to pulse oximeter
Y2b9c	COVID-19 mRNA (nucleoside modified) Vaccine Moderna 0.1mg/0.5mL dose dispersion for injection multidose vials part 1
Y2ba3	Excepted from non-diabetic hyperglycaemia quality indicators - patient unsuitable
Y2ba5	Suspected sickle cell trait
Y2baa	Lloyd George record scanned (third party) and attached to record
Y2bdb	Herpes simplex keratitis
Y2bdc	Retinal tear
Y2bdd	Degeneration of retina
Y2bde	Lumbar radiculopathy
Y2be2	Herpes zoster keratitis
Y2be3	Traumatic mydriasis
Y2be4	Traumatic iritis
Y2be5	Conjunctival laceration
Y2be9	Dysfunction of sphincter of Oddi
Y2bea	Avascular necrosis of bone of hip
Y2beb	Allergic conjunctivitis
Y2bec	Hypercapnic respiratory failure
Y2bed	Ulcer of skin of lower extremity
Y2bf3	Injury of muscle of lower back
Y2bfc	Metastatic spinal cord compression
Y2c01	Musculoskeletal service
Y2c08	Group consultation via video conference
Y2c09	Cancer EOTS (End of Treatment Summary) Plan
Y2c0c	Seen by health and wellbeing coach
Y2c1e	Allergy to nickel
Y2c39	Patient entered into trial
Y2c42	COVID-19 Additional Information
Y2c44	COVID-19 Additional Information - Are you a carer - No
Y2c45	COVID-19 Additional Information - Are you a carer - Not specified
Y2c47	COVID-19 Additional Information - Are you a social care worker - No
Y2c48	COVID-19 Additional Information - Are you a social care worker - Not specified
Y2c4a	COVID-19 Additional Information - Are you a health care worker - No
Y2c4b	COVID-19 Additional Information - Are you a health care worker - Not specified
Y2c4d	COVID-19 Additional Information - Do you work in a residential care home for older people - No
Y2c4e	COVID-19 Additional Information - Do you work in a residential care home for older people - Not specified
Y2c50	COVID-19 Additional information - Do you live in a residential care home - No
Y2c51	COVID-19 Additional Information - Do you live in a residential care home - Not specified
Y2c53	COVID-19 Additional Information - Pregnancy Status - Pregnant or could be pregnant - No
Y2c7c	Referral to autism assessment service
Y2c7e	Provision of information about cancer support services available in primary care
Y2c7f	Appointment rescheduled by service
Y2ca0	Consultation via video conference (procedure)
Y2cac	Medically fit for COVID-19 immunisation today
Y2cad	Consent for vaccination provided by patient
Y2caf	QOF (Quality and Outcomes Framework) non-diabetic hyperglycaemia quality indicator-related care invitation
Y2cb5	PSA monitoring interval
Y2ccd	Handover from ambulance
Y2ceb	Seen by care coordinator
