,ICD10_CODE,ALT_CODE,USAGE,USAGE_UK,DESCRIPTION,MODIFIER_4,MODIFIER_5,QUALIFIERS,GENDER_MASK,MIN_AGE,MAX_AGE,TREE_DESCRIPTION
5516,M02.1,M0218,DEFAULT,3.0,Postdysenteric arthropathy, ,Other, , , , , 
5517,M02.1,M0219,DEFAULT,3.0,Postdysenteric arthropathy, ,Site unspecified, , , , , 
5518,M02.2,M022,DEFAULT,3.0,Postimmunization arthropathy, , , , , , , 
5519,M02.2,M0220,DEFAULT,3.0,Postimmunization arthropathy, ,Multiple sites, , , , , 
5520,M02.2,M0221,DEFAULT,3.0,Postimmunization arthropathy, ,Shoulder region, , , , , 
5521,M02.2,M0222,DEFAULT,3.0,Postimmunization arthropathy, ,Upper arm, , , , , 
5522,M02.2,M0223,DEFAULT,3.0,Postimmunization arthropathy, ,Forearm, , , , , 
5523,M02.2,M0224,DEFAULT,3.0,Postimmunization arthropathy, ,Hand, , , , , 
5524,M02.2,M0225,DEFAULT,3.0,Postimmunization arthropathy, ,Pelvic region and thigh, , , , , 
5525,M02.2,M0226,DEFAULT,3.0,Postimmunization arthropathy, ,Lower leg, , , , , 
5526,M02.2,M0227,DEFAULT,3.0,Postimmunization arthropathy, ,Ankle and foot, , , , , 
5527,M02.2,M0228,DEFAULT,3.0,Postimmunization arthropathy, ,Other, , , , , 
5528,M02.2,M0229,DEFAULT,3.0,Postimmunization arthropathy, ,Site unspecified, , , , , 
5529,M02.3,M023,DEFAULT,3.0,Reiter disease, , , , , , , 
5530,M02.3,M0230,DEFAULT,3.0,Reiter disease, ,Multiple sites, , , , , 
5531,M02.3,M0231,DEFAULT,3.0,Reiter disease, ,Shoulder region, , , , , 
5532,M02.3,M0232,DEFAULT,3.0,Reiter disease, ,Upper arm, , , , , 
5533,M02.3,M0233,DEFAULT,3.0,Reiter disease, ,Forearm, , , , , 
5534,M02.3,M0234,DEFAULT,3.0,Reiter disease, ,Hand, , , , , 
5535,M02.3,M0235,DEFAULT,3.0,Reiter disease, ,Pelvic region and thigh, , , , , 
5536,M02.3,M0236,DEFAULT,3.0,Reiter disease, ,Lower leg, , , , , 
5537,M02.3,M0237,DEFAULT,3.0,Reiter disease, ,Ankle and foot, , , , , 
5538,M02.3,M0238,DEFAULT,3.0,Reiter disease, ,Other, , , , , 
5539,M02.3,M0239,DEFAULT,3.0,Reiter disease, ,Site unspecified, , , , , 
5540,M02.8,M028,DEFAULT,3.0,Other reactive arthropathies, , , , , , , 
5541,M02.8,M0280,DEFAULT,3.0,Other reactive arthropathies, ,Multiple sites, , , , , 
5542,M02.8,M0281,DEFAULT,3.0,Other reactive arthropathies, ,Shoulder region, , , , , 
5543,M02.8,M0282,DEFAULT,3.0,Other reactive arthropathies, ,Upper arm, , , , , 
5544,M02.8,M0283,DEFAULT,3.0,Other reactive arthropathies, ,Forearm, , , , , 
5545,M02.8,M0284,DEFAULT,3.0,Other reactive arthropathies, ,Hand, , , , , 
5546,M02.8,M0285,DEFAULT,3.0,Other reactive arthropathies, ,Pelvic region and thigh, , , , , 
5547,M02.8,M0286,DEFAULT,3.0,Other reactive arthropathies, ,Lower leg, , , , , 
5548,M02.8,M0287,DEFAULT,3.0,Other reactive arthropathies, ,Ankle and foot, , , , , 
5549,M02.8,M0288,DEFAULT,3.0,Other reactive arthropathies, ,Other, , , , , 
5550,M02.8,M0289,DEFAULT,3.0,Other reactive arthropathies, ,Site unspecified, , , , , 
5551,M02.9,M029,DEFAULT,3.0,"Reactive arthropathy, unspecified", , , , , , , 
5552,M02.9,M0290,DEFAULT,3.0,"Reactive arthropathy, unspecified", ,Multiple sites, , , , , 
5553,M02.9,M0291,DEFAULT,3.0,"Reactive arthropathy, unspecified", ,Shoulder region, , , , , 
5554,M02.9,M0292,DEFAULT,3.0,"Reactive arthropathy, unspecified", ,Upper arm, , , , , 
5555,M02.9,M0293,DEFAULT,3.0,"Reactive arthropathy, unspecified", ,Forearm, , , , , 
5556,M02.9,M0294,DEFAULT,3.0,"Reactive arthropathy, unspecified", ,Hand, , , , , 
5557,M02.9,M0295,DEFAULT,3.0,"Reactive arthropathy, unspecified", ,Pelvic region and thigh, , , , , 
5558,M02.9,M0296,DEFAULT,3.0,"Reactive arthropathy, unspecified", ,Lower leg, , , , , 
5559,M02.9,M0297,DEFAULT,3.0,"Reactive arthropathy, unspecified", ,Ankle and foot, , , , , 
5560,M02.9,M0298,DEFAULT,3.0,"Reactive arthropathy, unspecified", ,Other, , , , , 
5561,M02.9,M0299,DEFAULT,3.0,"Reactive arthropathy, unspecified", ,Site unspecified, , , , , 
5562,M03,M03,ASTERIS,2.0,Postinfective and reactive arthropathies in diseases classified elsewhere, , , , , , , 
5563,M03.0,M030,ASTERIS,2.0,Postmeningococcal arthritis, , , , , , , 
5564,M03.0,M0300,ASTERIS,2.0,Postmeningococcal arthritis, ,Multiple sites, , , , , 
5565,M03.0,M0301,ASTERIS,2.0,Postmeningococcal arthritis, ,Shoulder region, , , , , 
5566,M03.0,M0302,ASTERIS,2.0,Postmeningococcal arthritis, ,Upper arm, , , , , 
5567,M03.0,M0303,ASTERIS,2.0,Postmeningococcal arthritis, ,Forearm, , , , , 
5568,M03.0,M0304,ASTERIS,2.0,Postmeningococcal arthritis, ,Hand, , , , , 
5569,M03.0,M0305,ASTERIS,2.0,Postmeningococcal arthritis, ,Pelvic region and thigh, , , , , 
5570,M03.0,M0306,ASTERIS,2.0,Postmeningococcal arthritis, ,Lower leg, , , , , 
5571,M03.0,M0307,ASTERIS,2.0,Postmeningococcal arthritis, ,Ankle and foot, , , , , 
5572,M03.0,M0308,ASTERIS,2.0,Postmeningococcal arthritis, ,Other, , , , , 
5573,M03.0,M0309,ASTERIS,2.0,Postmeningococcal arthritis, ,Site unspecified, , , , , 
5574,M03.1,M031,ASTERIS,2.0,Postinfective arthropathy in syphilis, , , , , , , 
5575,M03.1,M0310,ASTERIS,2.0,Postinfective arthropathy in syphilis, ,Multiple sites, , , , , 
5576,M03.1,M0311,ASTERIS,2.0,Postinfective arthropathy in syphilis, ,Shoulder region, , , , , 
5577,M03.1,M0312,ASTERIS,2.0,Postinfective arthropathy in syphilis, ,Upper arm, , , , , 
5578,M03.1,M0313,ASTERIS,2.0,Postinfective arthropathy in syphilis, ,Forearm, , , , , 
5579,M03.1,M0314,ASTERIS,2.0,Postinfective arthropathy in syphilis, ,Hand, , , , , 
5580,M03.1,M0315,ASTERIS,2.0,Postinfective arthropathy in syphilis, ,Pelvic region and thigh, , , , , 
5581,M03.1,M0316,ASTERIS,2.0,Postinfective arthropathy in syphilis, ,Lower leg, , , , , 
5582,M03.1,M0317,ASTERIS,2.0,Postinfective arthropathy in syphilis, ,Ankle and foot, , , , , 
5583,M03.1,M0318,ASTERIS,2.0,Postinfective arthropathy in syphilis, ,Other, , , , , 
5584,M03.1,M0319,ASTERIS,2.0,Postinfective arthropathy in syphilis, ,Site unspecified, , , , , 
5585,M03.2,M032,ASTERIS,2.0,Other postinfectious arthropathies in diseases classified elsewhere, , , , , , , 
5586,M03.2,M0320,ASTERIS,2.0,Other postinfectious arthropathies in diseases classified elsewhere, ,Multiple sites, , , , , 
5587,M03.2,M0321,ASTERIS,2.0,Other postinfectious arthropathies in diseases classified elsewhere, ,Shoulder region, , , , , 
5588,M03.2,M0322,ASTERIS,2.0,Other postinfectious arthropathies in diseases classified elsewhere, ,Upper arm, , , , , 
5589,M03.2,M0323,ASTERIS,2.0,Other postinfectious arthropathies in diseases classified elsewhere, ,Forearm, , , , , 
5590,M03.2,M0324,ASTERIS,2.0,Other postinfectious arthropathies in diseases classified elsewhere, ,Hand, , , , , 
5591,M03.2,M0325,ASTERIS,2.0,Other postinfectious arthropathies in diseases classified elsewhere, ,Pelvic region and thigh, , , , , 
5592,M03.2,M0326,ASTERIS,2.0,Other postinfectious arthropathies in diseases classified elsewhere, ,Lower leg, , , , , 
5593,M03.2,M0327,ASTERIS,2.0,Other postinfectious arthropathies in diseases classified elsewhere, ,Ankle and foot, , , , , 
5594,M03.2,M0328,ASTERIS,2.0,Other postinfectious arthropathies in diseases classified elsewhere, ,Other, , , , , 
5595,M03.2,M0329,ASTERIS,2.0,Other postinfectious arthropathies in diseases classified elsewhere, ,Site unspecified, , , , , 
5596,M03.6,M036,ASTERIS,2.0,Reactive arthropathy in other diseases classified elsewhere, , , , , , , 
5597,M03.6,M0360,ASTERIS,2.0,Reactive arthropathy in other diseases classified elsewhere, ,Multiple sites, , , , , 
5598,M03.6,M0361,ASTERIS,2.0,Reactive arthropathy in other diseases classified elsewhere, ,Shoulder region, , , , , 
5599,M03.6,M0362,ASTERIS,2.0,Reactive arthropathy in other diseases classified elsewhere, ,Upper arm, , , , , 
5600,M03.6,M0363,ASTERIS,2.0,Reactive arthropathy in other diseases classified elsewhere, ,Forearm, , , , , 
5601,M03.6,M0364,ASTERIS,2.0,Reactive arthropathy in other diseases classified elsewhere, ,Hand, , , , , 
5602,M03.6,M0365,ASTERIS,2.0,Reactive arthropathy in other diseases classified elsewhere, ,Pelvic region and thigh, , , , , 
5603,M03.6,M0366,ASTERIS,2.0,Reactive arthropathy in other diseases classified elsewhere, ,Lower leg, , , , , 
5604,M03.6,M0367,ASTERIS,2.0,Reactive arthropathy in other diseases classified elsewhere, ,Ankle and foot, , , , , 
5605,M03.6,M0368,ASTERIS,2.0,Reactive arthropathy in other diseases classified elsewhere, ,Other, , , , , 
5606,M03.6,M0369,ASTERIS,2.0,Reactive arthropathy in other diseases classified elsewhere, ,Site unspecified, , , , , 
5607,M05,M05,DEFAULT,3.0,Seropositive rheumatoid arthritis, , , , , , , 
5608,M05.0,M050,DEFAULT,3.0,Felty syndrome, , , , , , , 
5609,M05.0,M0500,DEFAULT,3.0,Felty syndrome, ,Multiple sites, , , , , 
5610,M05.0,M0501,DEFAULT,3.0,Felty syndrome, ,Shoulder region, , , , , 
5611,M05.0,M0502,DEFAULT,3.0,Felty syndrome, ,Upper arm, , , , , 
5612,M05.0,M0503,DEFAULT,3.0,Felty syndrome, ,Forearm, , , , , 
5613,M05.0,M0504,DEFAULT,3.0,Felty syndrome, ,Hand, , , , , 
5614,M05.0,M0505,DEFAULT,3.0,Felty syndrome, ,Pelvic region and thigh, , , , , 
5615,M05.0,M0506,DEFAULT,3.0,Felty syndrome, ,Lower leg, , , , , 
5616,M05.0,M0507,DEFAULT,3.0,Felty syndrome, ,Ankle and foot, , , , , 
5617,M05.0,M0508,DEFAULT,3.0,Felty syndrome, ,Other, , , , , 
5618,M05.0,M0509,DEFAULT,3.0,Felty syndrome, ,Site unspecified, , , , , 
5619,M05.1,M051,DAGGER,1.0,Rheumatoid lung disease, , ,J99.0, , , , 
5620,M05.1,M0510,DAGGER,1.0,Rheumatoid lung disease, ,Multiple sites,J99.0, , , , 
5621,M05.1,M0511,DAGGER,1.0,Rheumatoid lung disease, ,Shoulder region,J99.0, , , , 
5622,M05.1,M0512,DAGGER,1.0,Rheumatoid lung disease, ,Upper arm,J99.0, , , , 
5623,M05.1,M0513,DAGGER,1.0,Rheumatoid lung disease, ,Forearm,J99.0, , , , 
5624,M05.1,M0514,DAGGER,1.0,Rheumatoid lung disease, ,Hand,J99.0, , , , 
5625,M05.1,M0515,DAGGER,1.0,Rheumatoid lung disease, ,Pelvic region and thigh,J99.0, , , , 
5626,M05.1,M0516,DAGGER,1.0,Rheumatoid lung disease, ,Lower leg,J99.0, , , , 
5627,M05.1,M0517,DAGGER,1.0,Rheumatoid lung disease, ,Ankle and foot,J99.0, , , , 
5628,M05.1,M0518,DAGGER,1.0,Rheumatoid lung disease, ,Other,J99.0, , , , 
5629,M05.1,M0519,DAGGER,1.0,Rheumatoid lung disease, ,Site unspecified,J99.0, , , , 
5630,M05.2,M052,DEFAULT,3.0,Rheumatoid vasculitis, , , , , , , 
5631,M05.2,M0520,DEFAULT,3.0,Rheumatoid vasculitis, ,Multiple sites, , , , , 
5632,M05.2,M0521,DEFAULT,3.0,Rheumatoid vasculitis, ,Shoulder region, , , , , 
5633,M05.2,M0522,DEFAULT,3.0,Rheumatoid vasculitis, ,Upper arm, , , , , 
5634,M05.2,M0523,DEFAULT,3.0,Rheumatoid vasculitis, ,Forearm, , , , , 
5635,M05.2,M0524,DEFAULT,3.0,Rheumatoid vasculitis, ,Hand, , , , , 
5636,M05.2,M0525,DEFAULT,3.0,Rheumatoid vasculitis, ,Pelvic region and thigh, , , , , 
5637,M05.2,M0526,DEFAULT,3.0,Rheumatoid vasculitis, ,Lower leg, , , , , 
5638,M05.2,M0527,DEFAULT,3.0,Rheumatoid vasculitis, ,Ankle and foot, , , , , 
5639,M05.2,M0528,DEFAULT,3.0,Rheumatoid vasculitis, ,Other, , , , , 
5640,M05.2,M0529,DEFAULT,3.0,Rheumatoid vasculitis, ,Site unspecified, , , , , 
5641,M05.3,M053,DAGGER,4.0,Rheumatoid arthritis with involvement of other organs and systems, , , , ,16, , 
5642,M05.3,M0530,DAGGER,4.0,Rheumatoid arthritis with involvement of other organs and systems, ,Multiple sites, , ,16, , 
5643,M05.3,M0531,DAGGER,4.0,Rheumatoid arthritis with involvement of other organs and systems, ,Shoulder region, , ,16, , 
5644,M05.3,M0532,DAGGER,4.0,Rheumatoid arthritis with involvement of other organs and systems, ,Upper arm, , ,16, , 
5645,M05.3,M0533,DAGGER,4.0,Rheumatoid arthritis with involvement of other organs and systems, ,Forearm, , ,16, , 
5646,M05.3,M0534,DAGGER,4.0,Rheumatoid arthritis with involvement of other organs and systems, ,Hand, , ,16, , 
5647,M05.3,M0535,DAGGER,4.0,Rheumatoid arthritis with involvement of other organs and systems, ,Pelvic region and thigh, , ,16, , 
5648,M05.3,M0536,DAGGER,4.0,Rheumatoid arthritis with involvement of other organs and systems, ,Lower leg, , ,16, , 
5649,M05.3,M0537,DAGGER,4.0,Rheumatoid arthritis with involvement of other organs and systems, ,Ankle and foot, , ,16, , 
5650,M05.3,M0538,DAGGER,4.0,Rheumatoid arthritis with involvement of other organs and systems, ,Other, , ,16, , 
5651,M05.3,M0539,DAGGER,4.0,Rheumatoid arthritis with involvement of other organs and systems, ,Site unspecified, , ,16, , 
5652,M05.8,M058,DEFAULT,3.0,Other seropositive rheumatoid arthritis, , , , ,16, , 
5653,M05.8,M0580,DEFAULT,3.0,Other seropositive rheumatoid arthritis, ,Multiple sites, , ,16, , 
5654,M05.8,M0581,DEFAULT,3.0,Other seropositive rheumatoid arthritis, ,Shoulder region, , ,16, , 
5655,M05.8,M0582,DEFAULT,3.0,Other seropositive rheumatoid arthritis, ,Upper arm, , ,16, , 
5656,M05.8,M0583,DEFAULT,3.0,Other seropositive rheumatoid arthritis, ,Forearm, , ,16, , 
5657,M05.8,M0584,DEFAULT,3.0,Other seropositive rheumatoid arthritis, ,Hand, , ,16, , 
5658,M05.8,M0585,DEFAULT,3.0,Other seropositive rheumatoid arthritis, ,Pelvic region and thigh, , ,16, , 
5659,M05.8,M0586,DEFAULT,3.0,Other seropositive rheumatoid arthritis, ,Lower leg, , ,16, , 
5660,M05.8,M0587,DEFAULT,3.0,Other seropositive rheumatoid arthritis, ,Ankle and foot, , ,16, , 
5661,M05.8,M0588,DEFAULT,3.0,Other seropositive rheumatoid arthritis, ,Other, , ,16, , 
5662,M05.8,M0589,DEFAULT,3.0,Other seropositive rheumatoid arthritis, ,Site unspecified, , ,16, , 
5663,M05.9,M059,DEFAULT,3.0,"Seropositive rheumatoid arthritis, unspecified", , , , ,16, , 
5664,M05.9,M0590,DEFAULT,3.0,"Seropositive rheumatoid arthritis, unspecified", ,Multiple sites, , ,16, , 
5665,M05.9,M0591,DEFAULT,3.0,"Seropositive rheumatoid arthritis, unspecified", ,Shoulder region, , ,16, , 
5666,M05.9,M0592,DEFAULT,3.0,"Seropositive rheumatoid arthritis, unspecified", ,Upper arm, , ,16, , 
5667,M05.9,M0593,DEFAULT,3.0,"Seropositive rheumatoid arthritis, unspecified", ,Forearm, , ,16, , 
5668,M05.9,M0594,DEFAULT,3.0,"Seropositive rheumatoid arthritis, unspecified", ,Hand, , ,16, , 
5669,M05.9,M0595,DEFAULT,3.0,"Seropositive rheumatoid arthritis, unspecified", ,Pelvic region and thigh, , ,16, , 
5670,M05.9,M0596,DEFAULT,3.0,"Seropositive rheumatoid arthritis, unspecified", ,Lower leg, , ,16, , 
5671,M05.9,M0597,DEFAULT,3.0,"Seropositive rheumatoid arthritis, unspecified", ,Ankle and foot, , ,16, , 
5672,M05.9,M0598,DEFAULT,3.0,"Seropositive rheumatoid arthritis, unspecified", ,Other, , ,16, , 
5673,M05.9,M0599,DEFAULT,3.0,"Seropositive rheumatoid arthritis, unspecified", ,Site unspecified, , ,16, , 
5674,M06,M06,DEFAULT,3.0,Other rheumatoid arthritis, , , , , , , 
5675,M06.0,M060,DEFAULT,3.0,Seronegative rheumatoid arthritis, , , , ,16, , 
5676,M06.0,M0600,DEFAULT,3.0,Seronegative rheumatoid arthritis, ,Multiple sites, , ,16, , 
5677,M06.0,M0601,DEFAULT,3.0,Seronegative rheumatoid arthritis, ,Shoulder region, , ,16, , 
5678,M06.0,M0602,DEFAULT,3.0,Seronegative rheumatoid arthritis, ,Upper arm, , ,16, , 
5679,M06.0,M0603,DEFAULT,3.0,Seronegative rheumatoid arthritis, ,Forearm, , ,16, , 
5680,M06.0,M0604,DEFAULT,3.0,Seronegative rheumatoid arthritis, ,Hand, , ,16, , 
5681,M06.0,M0605,DEFAULT,3.0,Seronegative rheumatoid arthritis, ,Pelvic region and thigh, , ,16, , 
5682,M06.0,M0606,DEFAULT,3.0,Seronegative rheumatoid arthritis, ,Lower leg, , ,16, , 
5683,M06.0,M0607,DEFAULT,3.0,Seronegative rheumatoid arthritis, ,Ankle and foot, , ,16, , 
5684,M06.0,M0608,DEFAULT,3.0,Seronegative rheumatoid arthritis, ,Other, , ,16, , 
5685,M06.0,M0609,DEFAULT,3.0,Seronegative rheumatoid arthritis, ,Site unspecified, , ,16, , 
5686,M06.1,M061,DEFAULT,3.0,Adult-onset Still disease, , , , ,16, , 
5687,M06.1,M0610,DEFAULT,3.0,Adult-onset Still disease, ,Multiple sites, , ,16, , 
5688,M06.1,M0611,DEFAULT,3.0,Adult-onset Still disease, ,Shoulder region, , ,16, , 
5689,M06.1,M0612,DEFAULT,3.0,Adult-onset Still disease, ,Upper arm, , ,16, , 
5690,M06.1,M0613,DEFAULT,3.0,Adult-onset Still disease, ,Forearm, , ,16, , 
5691,M06.1,M0614,DEFAULT,3.0,Adult-onset Still disease, ,Hand, , ,16, , 
5692,M06.1,M0615,DEFAULT,3.0,Adult-onset Still disease, ,Pelvic region and thigh, , ,16, , 
5693,M06.1,M0616,DEFAULT,3.0,Adult-onset Still disease, ,Lower leg, , ,16, , 
5694,M06.1,M0617,DEFAULT,3.0,Adult-onset Still disease, ,Ankle and foot, , ,16, , 
5695,M06.1,M0618,DEFAULT,3.0,Adult-onset Still disease, ,Other, , ,16, , 
5696,M06.1,M0619,DEFAULT,3.0,Adult-onset Still disease, ,Site unspecified, , ,16, , 
5697,M06.2,M062,DEFAULT,3.0,Rheumatoid bursitis, , , , , , , 
5698,M06.2,M0620,DEFAULT,3.0,Rheumatoid bursitis, ,Multiple sites, , , , , 
5699,M06.2,M0621,DEFAULT,3.0,Rheumatoid bursitis, ,Shoulder region, , , , , 
5700,M06.2,M0622,DEFAULT,3.0,Rheumatoid bursitis, ,Upper arm, , , , , 
5701,M06.2,M0623,DEFAULT,3.0,Rheumatoid bursitis, ,Forearm, , , , , 
5702,M06.2,M0624,DEFAULT,3.0,Rheumatoid bursitis, ,Hand, , , , , 
5703,M06.2,M0625,DEFAULT,3.0,Rheumatoid bursitis, ,Pelvic region and thigh, , , , , 
5704,M06.2,M0626,DEFAULT,3.0,Rheumatoid bursitis, ,Lower leg, , , , , 
5705,M06.2,M0627,DEFAULT,3.0,Rheumatoid bursitis, ,Ankle and foot, , , , , 
5706,M06.2,M0628,DEFAULT,3.0,Rheumatoid bursitis, ,Other, , , , , 
5707,M06.2,M0629,DEFAULT,3.0,Rheumatoid bursitis, ,Site unspecified, , , , , 
5708,M06.3,M063,DEFAULT,3.0,Rheumatoid nodule, , , , , , , 
5709,M06.3,M0630,DEFAULT,3.0,Rheumatoid nodule, ,Multiple sites, , , , , 
5710,M06.3,M0631,DEFAULT,3.0,Rheumatoid nodule, ,Shoulder region, , , , , 
5711,M06.3,M0632,DEFAULT,3.0,Rheumatoid nodule, ,Upper arm, , , , , 
5712,M06.3,M0633,DEFAULT,3.0,Rheumatoid nodule, ,Forearm, , , , , 
5713,M06.3,M0634,DEFAULT,3.0,Rheumatoid nodule, ,Hand, , , , , 
5714,M06.3,M0635,DEFAULT,3.0,Rheumatoid nodule, ,Pelvic region and thigh, , , , , 
5715,M06.3,M0636,DEFAULT,3.0,Rheumatoid nodule, ,Lower leg, , , , , 
5716,M06.3,M0637,DEFAULT,3.0,Rheumatoid nodule, ,Ankle and foot, , , , , 
5717,M06.3,M0638,DEFAULT,3.0,Rheumatoid nodule, ,Other, , , , , 
5718,M06.3,M0639,DEFAULT,3.0,Rheumatoid nodule, ,Site unspecified, , , , , 
5719,M06.4,M064,DEFAULT,3.0,Inflammatory polyarthropathy, , , , , , , 
5720,M06.4,M0640,DEFAULT,3.0,Inflammatory polyarthropathy, ,Multiple sites, , , , , 
5721,M06.4,M0641,DEFAULT,3.0,Inflammatory polyarthropathy, ,Shoulder region, , , , , 
5722,M06.4,M0642,DEFAULT,3.0,Inflammatory polyarthropathy, ,Upper arm, , , , , 
5723,M06.4,M0643,DEFAULT,3.0,Inflammatory polyarthropathy, ,Forearm, , , , , 
5724,M06.4,M0644,DEFAULT,3.0,Inflammatory polyarthropathy, ,Hand, , , , , 
5725,M06.4,M0645,DEFAULT,3.0,Inflammatory polyarthropathy, ,Pelvic region and thigh, , , , , 
5726,M06.4,M0646,DEFAULT,3.0,Inflammatory polyarthropathy, ,Lower leg, , , , , 
5727,M06.4,M0647,DEFAULT,3.0,Inflammatory polyarthropathy, ,Ankle and foot, , , , , 
5728,M06.4,M0648,DEFAULT,3.0,Inflammatory polyarthropathy, ,Other, , , , , 
5729,M06.4,M0649,DEFAULT,3.0,Inflammatory polyarthropathy, ,Site unspecified, , , , , 
5730,M06.8,M068,DEFAULT,3.0,Other specified rheumatoid arthritis, , , , ,16, , 
5731,M06.8,M0680,DEFAULT,3.0,Other specified rheumatoid arthritis, ,Multiple sites, , ,16, , 
5732,M06.8,M0681,DEFAULT,3.0,Other specified rheumatoid arthritis, ,Shoulder region, , ,16, , 
5733,M06.8,M0682,DEFAULT,3.0,Other specified rheumatoid arthritis, ,Upper arm, , ,16, , 
5734,M06.8,M0683,DEFAULT,3.0,Other specified rheumatoid arthritis, ,Forearm, , ,16, , 
5735,M06.8,M0684,DEFAULT,3.0,Other specified rheumatoid arthritis, ,Hand, , ,16, , 
5736,M06.8,M0685,DEFAULT,3.0,Other specified rheumatoid arthritis, ,Pelvic region and thigh, , ,16, , 
5737,M06.8,M0686,DEFAULT,3.0,Other specified rheumatoid arthritis, ,Lower leg, , ,16, , 
5738,M06.8,M0687,DEFAULT,3.0,Other specified rheumatoid arthritis, ,Ankle and foot, , ,16, , 
5739,M06.8,M0688,DEFAULT,3.0,Other specified rheumatoid arthritis, ,Other, , ,16, , 
5740,M06.8,M0689,DEFAULT,3.0,Other specified rheumatoid arthritis, ,Site unspecified, , ,16, , 
5741,M06.9,M069,DEFAULT,3.0,"Rheumatoid arthritis, unspecified", , , , ,16, , 
5742,M06.9,M0690,DEFAULT,3.0,"Rheumatoid arthritis, unspecified", ,Multiple sites, , ,16, , 
5743,M06.9,M0691,DEFAULT,3.0,"Rheumatoid arthritis, unspecified", ,Shoulder region, , ,16, , 
5744,M06.9,M0692,DEFAULT,3.0,"Rheumatoid arthritis, unspecified", ,Upper arm, , ,16, , 
5745,M06.9,M0693,DEFAULT,3.0,"Rheumatoid arthritis, unspecified", ,Forearm, , ,16, , 
5746,M06.9,M0694,DEFAULT,3.0,"Rheumatoid arthritis, unspecified", ,Hand, , ,16, , 
5747,M06.9,M0695,DEFAULT,3.0,"Rheumatoid arthritis, unspecified", ,Pelvic region and thigh, , ,16, , 
5748,M06.9,M0696,DEFAULT,3.0,"Rheumatoid arthritis, unspecified", ,Lower leg, , ,16, , 
5749,M06.9,M0697,DEFAULT,3.0,"Rheumatoid arthritis, unspecified", ,Ankle and foot, , ,16, , 
5750,M06.9,M0698,DEFAULT,3.0,"Rheumatoid arthritis, unspecified", ,Other, , ,16, , 
5751,M06.9,M0699,DEFAULT,3.0,"Rheumatoid arthritis, unspecified", ,Site unspecified, , ,16, , 
5752,M07,M07,ASTERIS,2.0,Psoriatic and enteropathic arthropathies, , , , , , , 
5753,M07.0,M070,ASTERIS,2.0,Distal interphalangeal psoriatic arthropathy, , , , , , , 
5754,M07.0,M0700,ASTERIS,2.0,Distal interphalangeal psoriatic arthropathy, ,Multiple sites, , , , , 
5755,M07.0,M0704,ASTERIS,2.0,Distal interphalangeal psoriatic arthropathy, ,Hand, , , , , 
5756,M07.0,M0707,ASTERIS,2.0,Distal interphalangeal psoriatic arthropathy, ,Ankle and foot, , , , , 
5757,M07.0,M0709,ASTERIS,2.0,Distal interphalangeal psoriatic arthropathy, ,Site unspecified, , , , , 
5758,M07.1,M071,ASTERIS,2.0,Arthritis mutilans, , , , , , , 
5759,M07.1,M0710,ASTERIS,2.0,Arthritis mutilans, ,Multiple sites, , , , , 
5760,M07.1,M0711,ASTERIS,2.0,Arthritis mutilans, ,Shoulder region, , , , , 
5761,M07.1,M0712,ASTERIS,2.0,Arthritis mutilans, ,Upper arm, , , , , 
5762,M07.1,M0713,ASTERIS,2.0,Arthritis mutilans, ,Forearm, , , , , 
5763,M07.1,M0714,ASTERIS,2.0,Arthritis mutilans, ,Hand, , , , , 
5764,M07.1,M0715,ASTERIS,2.0,Arthritis mutilans, ,Pelvic region and thigh, , , , , 
5765,M07.1,M0716,ASTERIS,2.0,Arthritis mutilans, ,Lower leg, , , , , 
5766,M07.1,M0717,ASTERIS,2.0,Arthritis mutilans, ,Ankle and foot, , , , , 
5767,M07.1,M0718,ASTERIS,2.0,Arthritis mutilans, ,Other, , , , , 
5768,M07.1,M0719,ASTERIS,2.0,Arthritis mutilans, ,Site unspecified, , , , , 
5769,M07.2,M072,ASTERIS,2.0,Psoriatic spondylitis, , , , , , , 
5770,M07.2,M0720,ASTERIS,2.0,Psoriatic spondylitis, ,Multiple sites, , , , , 
5771,M07.2,M0721,ASTERIS,2.0,Psoriatic spondylitis, ,Shoulder region, , , , , 
5772,M07.2,M0722,ASTERIS,2.0,Psoriatic spondylitis, ,Upper arm, , , , , 
5773,M07.2,M0723,ASTERIS,2.0,Psoriatic spondylitis, ,Forearm, , , , , 
5774,M07.2,M0724,ASTERIS,2.0,Psoriatic spondylitis, ,Hand, , , , , 
5775,M07.2,M0725,ASTERIS,2.0,Psoriatic spondylitis, ,Pelvic region and thigh, , , , , 
5776,M07.2,M0726,ASTERIS,2.0,Psoriatic spondylitis, ,Lower leg, , , , , 
5777,M07.2,M0727,ASTERIS,2.0,Psoriatic spondylitis, ,Ankle and foot, , , , , 
5778,M07.2,M0728,ASTERIS,2.0,Psoriatic spondylitis, ,Other, , , , , 
5779,M07.2,M0729,ASTERIS,2.0,Psoriatic spondylitis, ,Site unspecified, , , , , 
5780,M07.3,M073,ASTERIS,2.0,Other psoriatic arthropathies, , , , , , , 
5781,M07.3,M0730,ASTERIS,2.0,Other psoriatic arthropathies, ,Multiple sites, , , , , 
5782,M07.3,M0731,ASTERIS,2.0,Other psoriatic arthropathies, ,Shoulder region, , , , , 
